거래일자,종목명,거래구분,거래수량,거래단가,거래금액,수수료,거래세,정산금액
2025-07-07,LG에너지솔루션,매수,13,682142,8867846,1330,0,-8869176
2025-07-07,카카오,매도,13,59681,775853,116,1397,774340
2025-07-08,삼성전자,매수,14,132669,1857366,279,0,-1857645
2025-07-08,삼성전자,매도,7,132669,928683,139,1672,926872
2025-07-09,SK하이닉스,매도,15,423140,6347100,952,11425,6334723
2025-07-10,SK하이닉스,매수,10,424549,4245490,637,0,-4246127
2025-07-17,SK하이닉스,매도,10,469820,4698200,705,8457,4689038
2025-07-17,카카오,매수,11,70655,777205,117,0,-777322
2025-07-18,LG에너지솔루션,매도,13,818945,10646285,1597,19163,10625525
2025-07-21,SK하이닉스,매수,5,455131,2275655,341,0,-2275996
2025-07-30,삼성전자,매도,14,121267,1697738,255,3056,1694427
2025-07-30,SK하이닉스,매도,5,464775,2323875,349,4183,2319343
2025-07-30,LG에너지솔루션,매수,10,824783,8247830,1237,0,-8249067
2025-08-04,삼성전자,매수,8,113469,907752,136,0,-907888
2025-08-12,카카오,매도,11,64226,706486,106,1272,705108
2025-08-12,LG에너지솔루션,매도,10,932246,9322460,1398,16780,9304282
2025-08-12,삼성전자,매도,8,115749,925992,139,1667,924186
2025-08-12,SK하이닉스,매수,12,463068,5556816,834,0,-5557650
2025-08-14,카카오,매수,8,67459,539672,81,0,-539753
2025-08-19,LG에너지솔루션,매수,12,889060,10668720,1600,0,-10670320
2025-08-21,카카오,매도,8,68980,551840,83,993,550764
2025-08-21,삼성전자,매수,11,117787,1295657,194,0,-1295851
2025-09-03,삼성전자,매도,11,123211,1355321,203,2440,1352678
2025-09-05,SK하이닉스,매도,12,425321,5103852,766,9187,5093899
2025-09-05,SK하이닉스,매수,7,425321,2977247,447,0,-2977694
2025-09-09,LG에너지솔루션,매도,12,843198,10118376,1518,18213,10098645
2025-09-09,삼성전자,매수,14,119727,1676178,251,0,-1676429
2025-09-12,카카오,매수,8,79055,632440,95,0,-632535
2025-09-15,SK하이닉스,매도,7,456460,3195220,479,5751,3188990
2025-09-17,SK하이닉스,매수,14,459934,6439076,966,0,-6440042
2025-09-22,카카오,매도,8,84564,676512,101,1218,675193
2025-09-22,LG에너지솔루션,매수,11,852335,9375685,1406,0,-9377091
2025-10-01,SK하이닉스,매도,14,475597,6658358,999,11985,6645374
2025-10-01,SK하이닉스,매수,6,475597,2853582,428,0,-2854010
2025-10-08,삼성전자,매도,14,92843,1299802,195,2340,1297267
2025-10-08,삼성전자,매수,3,92843,278529,42,0,-278571
2025-10-17,LG에너지솔루션,매수,8,696259,5570072,836,0,-5570908
2025-10-17,LG에너지솔루션,매도,11,696259,7658849,1149,13786,7643914
2025-10-24,삼성전자,매도,3,96184,288552,43,519,287990
2025-10-27,LG에너지솔루션,매도,8,834983,6679864,1002,12024,6666838
2025-10-28,SK하이닉스,매도,6,463089,2778534,417,5001,2773116
2025-10-28,LG에너지솔루션,매수,15,885173,13277595,1992,0,-13279587
2025-10-29,SK하이닉스,매수,7,482263,3375841,506,0,-3376347
2025-10-29,삼성전자,매수,11,91170,1002870,150,0,-1003020
2025-11-05,삼성전자,매도,11,100590,1106490,166,1992,1104332
2025-11-05,삼성전자,매수,10,100590,1005900,151,0,-1006051
2025-11-07,SK하이닉스,매도,7,522615,3658305,549,6585,3651171
2025-11-07,SK하이닉스,매수,15,522615,7839225,1176,0,-7840401
2025-11-10,LG에너지솔루션,매도,15,1038490,15577350,2337,28039,15546974
2025-11-10,LG에너지솔루션,매수,9,1038490,9346410,1402,0,-9347812
2025-11-12,삼성전자,매도,10,111042,1110420,167,1999,1108254
2025-11-12,삼성전자,매수,9,111042,999378,150,0,-999528
2025-11-18,SK하이닉스,매수,11,551962,6071582,911,0,-6072493
2025-11-18,SK하이닉스,매도,15,551962,8279430,1242,14903,8263285
2025-11-19,LG에너지솔루션,매도,9,1070619,9635571,1445,17344,9616782
2025-11-19,삼성전자,매도,9,113676,1023084,153,1842,1021089
2025-11-19,삼성전자,매수,9,113676,1023084,153,0,-1023237
2025-11-20,LG에너지솔루션,매수,6,1111580,6669480,1000,0,-6670480
2025-12-05,SK하이닉스,매도,11,585184,6437024,966,11587,6424471
2025-12-05,SK하이닉스,매수,5,585184,2925920,439,0,-2926359
2025-12-12,삼성전자,매도,9,109115,982035,147,1768,980120
2025-12-16,카카오,매수,9,113339,1020051,153,0,-1020204
2025-12-17,LG에너지솔루션,매도,6,979677,5878062,882,10581,5866599
2025-12-17,LG에너지솔루션,매수,9,979677,8817093,1323,0,-8818416
2025-12-19,SK하이닉스,매도,5,613941,3069705,460,5525,3063720
2025-12-22,삼성전자,매수,7,107458,752206,113,0,-752319
2025-12-26,카카오,매도,9,133175,1198575,180,2157,1196238
2025-12-26,LG에너지솔루션,매도,9,1135499,10219491,1533,18395,10199563
2025-12-26,SK하이닉스,매수,7,608325,4258275,639,0,-4258914
2025-12-31,삼성전자,매도,7,103153,722071,108,1300,720663
2025-12-31,SK하이닉스,매도,7,636844,4457908,669,8024,4449215
