거래일자,종목명,거래구분,거래수량,거래단가,거래금액,수수료,거래세,정산금액
2025-11-03,삼성전자,매수,10,53297,532970,80,0,-533050
2025-11-20,SK하이닉스,매도,5,144382,721910,108,1299,720503
2025-11-26,SK하이닉스,매수,8,146842,1174736,176,0,-1174912
2025-11-28,삼성전자,매도,10,50863,508630,76,916,507638
2025-12-01,삼성전자,매수,13,51240,666120,100,0,-666220
2025-12-04,카카오,매도,13,31853,414089,62,745,413282
2025-12-08,SK하이닉스,매도,8,165072,1320576,198,2377,1318001
2025-12-15,LG에너지솔루션,매수,10,242294,2422940,363,0,-2423303
2025-12-19,카카오,매수,5,36918,184590,28,0,-184618
2025-12-24,LG에너지솔루션,매도,10,316046,3160460,474,5689,3154297
2025-12-29,LG에너지솔루션,매수,7,326420,2284940,343,0,-2285283
2025-12-31,삼성전자,매도,13,38013,494169,74,890,493205
2025-12-31,카카오,매도,5,36022,180110,27,324,179759
2025-12-31,LG에너지솔루션,매도,7,363665,2545655,382,4582,2540691
