agent_id,신규여부,성별,연령,자산,진입일,초기보유종목수,초기총자산,모드_disposition_strength,모드_overconfidence,모드_lottery_preference,모드_herd_sensitivity
92,기존,여성,60대이상,1천만원이하,2020-03-02,1,5259414,natural,natural,natural,natural
93,기존,남성,50대,1천만원이하,2020-03-02,2,9750170,natural,natural,natural,natural
94,기존,남성,40대,3천만원이하,2020-03-02,6,24434706,natural,natural,natural,natural
95,기존,남성,40대,3천만원이하,2020-03-02,6,14651537,natural,natural,natural,natural
96,기존,여성,30대,1억원이하,2020-03-02,9,78900734,natural,natural,natural,natural
97,신규,남성,40대,1천만원이하,2020-03-18,0,6409548,natural,natural,natural,natural
98,기존,여성,60대이상,1천만원이하,2020-03-02,5,5277738,natural,natural,natural,natural
99,신규,여성,40대,1천만원이하,2020-04-17,0,5484792,natural,natural,natural,natural
100,기존,남성,50대,1억원이하,2020-03-02,8,32386820,natural,natural,natural,natural
101,기존,남성,20대이하,1억원이하,2020-03-02,12,65341487,natural,natural,natural,natural
102,기존,남성,40대,1억원초과,2020-03-02,12,252094148,natural,natural,natural,natural
103,신규,남성,20대이하,1천만원이하,2020-10-05,0,6987648,natural,natural,natural,natural
104,기존,남성,50대,1억원초과,2020-03-02,15,110368108,natural,natural,natural,natural
105,기존,남성,30대,1천만원이하,2020-03-02,2,9384359,natural,natural,natural,natural
106,기존,남성,50대,1천만원이하,2020-03-02,2,4407575,natural,natural,natural,natural
107,기존,남성,30대,3천만원이하,2020-03-02,2,29110297,natural,natural,natural,natural
108,신규,여성,20대이하,1천만원이하,2020-10-08,0,4892044,natural,natural,natural,natural
109,기존,여성,40대,3천만원이하,2020-03-02,8,27939867,natural,natural,natural,natural
110,신규,남성,40대,1천만원이하,2020-06-12,0,1563219,natural,natural,natural,natural
111,신규,남성,40대,1천만원이하,2020-03-17,0,9619206,natural,natural,natural,natural
112,기존,남성,60대이상,1억원이하,2020-03-02,11,82895666,natural,natural,natural,natural
113,기존,남성,40대,3천만원이하,2020-03-02,8,29135553,natural,natural,natural,natural
114,신규,여성,30대,3천만원이하,2020-04-10,0,13658785,natural,natural,natural,natural
115,기존,남성,60대이상,1억원초과,2020-03-02,14,163909756,natural,natural,natural,natural
116,기존,남성,40대,1천만원이하,2020-03-02,2,1582597,natural,natural,natural,natural
117,기존,남성,30대,1천만원이하,2020-03-02,4,3384022,natural,natural,natural,natural
118,신규,남성,40대,1천만원이하,2020-03-31,0,4751566,natural,natural,natural,natural
119,기존,남성,30대,1천만원이하,2020-03-02,2,8567841,natural,natural,natural,natural
120,기존,여성,30대,3천만원이하,2020-03-02,6,14906806,natural,natural,natural,natural
121,기존,남성,40대,1억원이하,2020-03-02,11,65512716,natural,natural,natural,natural
122,신규,여성,50대,1천만원이하,2020-04-14,0,8371924,natural,natural,natural,natural
123,기존,남성,40대,3천만원이하,2020-03-02,5,29459304,natural,natural,natural,natural
124,기존,남성,30대,1억원이하,2020-03-02,15,84444339,natural,natural,natural,natural
125,기존,남성,40대,1천만원이하,2020-03-02,4,2272325,natural,natural,natural,natural
126,기존,남성,40대,1천만원이하,2020-03-02,2,3945243,natural,natural,natural,natural
127,기존,여성,40대,1천만원이하,2020-03-02,1,1569440,natural,natural,natural,natural
128,기존,여성,40대,1천만원이하,2020-03-02,1,7258653,natural,natural,natural,natural
129,기존,남성,30대,3천만원이하,2020-03-02,10,17143634,natural,natural,natural,natural
130,기존,남성,60대이상,1억원초과,2020-03-02,19,140733434,natural,natural,natural,natural
131,기존,남성,50대,1억원이하,2020-03-02,8,62263436,natural,natural,natural,natural
132,기존,남성,50대,3천만원이하,2020-03-02,9,22443892,natural,natural,natural,natural
133,기존,남성,40대,3천만원이하,2020-03-02,5,12175857,natural,natural,natural,natural
134,기존,여성,30대,1억원초과,2020-03-02,19,295109317,natural,natural,natural,natural
135,기존,남성,60대이상,1억원이하,2020-03-02,6,87718903,natural,natural,natural,natural
136,기존,남성,50대,1천만원이하,2020-03-02,1,2646690,natural,natural,natural,natural
137,신규,여성,50대,3천만원이하,2020-10-15,0,24497654,natural,natural,natural,natural
138,기존,남성,50대,3천만원이하,2020-03-02,6,12354620,natural,natural,natural,natural
139,신규,남성,40대,1천만원이하,2020-03-30,0,4831659,natural,natural,natural,natural
140,기존,남성,50대,1천만원이하,2020-03-02,6,3117258,natural,natural,natural,natural
141,기존,남성,50대,1천만원이하,2020-03-02,2,2156103,natural,natural,natural,natural
142,신규,여성,20대이하,1천만원이하,2020-10-21,0,1740169,natural,natural,natural,natural
143,기존,남성,50대,1천만원이하,2020-03-02,3,9557812,natural,natural,natural,natural
144,기존,여성,40대,1천만원이하,2020-03-02,4,9835553,natural,natural,natural,natural
145,기존,남성,40대,1천만원이하,2020-03-02,4,1589646,natural,natural,natural,natural
146,기존,여성,30대,1천만원이하,2020-03-02,5,2292151,natural,natural,natural,natural
147,기존,남성,30대,1억원이하,2020-03-02,6,32578314,natural,natural,natural,natural
148,신규,여성,30대,1천만원이하,2020-10-20,0,8063824,natural,natural,natural,natural
149,기존,남성,40대,1억원이하,2020-03-02,10,70603058,natural,natural,natural,natural
150,기존,남성,40대,1천만원이하,2020-03-02,3,3382787,natural,natural,natural,natural
151,신규,여성,30대,1천만원이하,2020-03-13,0,7692352,natural,natural,natural,natural
152,기존,남성,60대이상,1천만원이하,2020-03-02,4,6973287,natural,natural,natural,natural
153,기존,여성,60대이상,1억원초과,2020-03-02,22,202535597,natural,natural,natural,natural
154,기존,남성,40대,3천만원이하,2020-03-02,7,17099251,natural,natural,natural,natural
155,기존,남성,30대,1천만원이하,2020-03-02,2,6615366,natural,natural,natural,natural
156,기존,남성,60대이상,1천만원이하,2020-03-02,3,6743891,natural,natural,natural,natural
157,기존,여성,30대,1천만원이하,2020-03-02,4,6060981,natural,natural,natural,natural
158,기존,남성,40대,1천만원이하,2020-03-02,6,9131531,natural,natural,natural,natural
159,신규,여성,30대,1천만원이하,2020-05-22,0,1111151,natural,natural,natural,natural
160,기존,여성,60대이상,1억원초과,2020-03-02,18,228313994,natural,natural,natural,natural
161,기존,여성,40대,3천만원이하,2020-03-02,6,25659484,natural,natural,natural,natural
162,기존,남성,50대,1억원초과,2020-03-02,20,190497448,natural,natural,natural,natural
163,기존,여성,50대,3천만원이하,2020-03-02,7,23902185,natural,natural,natural,natural
164,기존,남성,20대이하,1천만원이하,2020-03-02,4,5709202,natural,natural,natural,natural
165,기존,여성,30대,1억원이하,2020-03-02,9,48225806,natural,natural,natural,natural
166,기존,남성,50대,3천만원이하,2020-03-02,7,16571075,natural,natural,natural,natural
167,기존,여성,60대이상,1억원이하,2020-03-02,10,62864506,natural,natural,natural,natural
168,기존,남성,30대,3천만원이하,2020-03-02,4,16155017,natural,natural,natural,natural
169,기존,여성,30대,1천만원이하,2020-03-02,2,1960105,natural,natural,natural,natural
170,신규,여성,60대이상,1억원이하,2020-07-28,0,74371469,natural,natural,natural,natural
171,기존,남성,50대,1천만원이하,2020-03-02,2,8376070,natural,natural,natural,natural
172,기존,남성,50대,1억원초과,2020-03-02,10,141144683,natural,natural,natural,natural
173,기존,여성,20대이하,1천만원이하,2020-03-02,3,6683828,natural,natural,natural,natural
174,기존,남성,50대,1억원이하,2020-03-02,11,59663577,natural,natural,natural,natural
175,신규,여성,50대,1천만원이하,2020-03-09,0,9675993,natural,natural,natural,natural
176,신규,남성,40대,1천만원이하,2020-06-15,0,7957233,natural,natural,natural,natural
177,신규,여성,40대,1천만원이하,2020-10-22,0,8378300,natural,natural,natural,natural
178,기존,남성,30대,1억원이하,2020-03-02,3,64357610,natural,natural,natural,natural
179,신규,여성,60대이상,1천만원이하,2020-03-19,0,3345176,natural,natural,natural,natural
180,기존,남성,50대,3천만원이하,2020-03-02,4,22730633,natural,natural,natural,natural
181,기존,남성,60대이상,1억원이하,2020-03-02,10,58088940,natural,natural,natural,natural
182,신규,여성,50대,1천만원이하,2020-09-07,0,3368759,natural,natural,natural,natural
183,신규,남성,40대,1억원초과,2020-03-20,0,206308917,natural,natural,natural,natural
184,기존,남성,50대,3천만원이하,2020-03-02,7,26862121,natural,natural,natural,natural
185,기존,남성,30대,3천만원이하,2020-03-02,7,12521141,natural,natural,natural,natural
186,신규,여성,30대,1억원이하,2020-08-28,0,89056365,natural,natural,natural,natural
187,신규,여성,40대,1천만원이하,2020-10-21,0,3952676,natural,natural,natural,natural
188,기존,여성,50대,1억원이하,2020-03-02,12,56896303,natural,natural,natural,natural
189,기존,남성,40대,1억원이하,2020-03-02,16,37480880,natural,natural,natural,natural
190,신규,여성,30대,3천만원이하,2020-03-30,0,20009731,natural,natural,natural,natural
191,기존,남성,50대,1억원초과,2020-03-02,16,281600778,natural,natural,natural,natural
192,기존,남성,50대,1억원이하,2020-03-02,9,91605407,natural,natural,natural,natural
193,기존,남성,40대,1천만원이하,2020-03-02,4,3817129,natural,natural,natural,natural
194,기존,남성,60대이상,1천만원이하,2020-03-02,2,3250549,natural,natural,natural,natural
195,기존,여성,40대,1천만원이하,2020-03-02,2,2647559,natural,natural,natural,natural
196,기존,남성,60대이상,1천만원이하,2020-03-02,3,5890239,natural,natural,natural,natural
197,신규,남성,40대,1천만원이하,2020-03-04,0,5869318,natural,natural,natural,natural
198,신규,남성,30대,1천만원이하,2020-03-17,0,9531754,natural,natural,natural,natural
199,기존,남성,30대,1천만원이하,2020-03-02,5,4199257,natural,natural,natural,natural
200,신규,남성,20대이하,3천만원이하,2020-08-18,0,23965054,natural,natural,natural,natural
201,기존,남성,30대,1억원이하,2020-03-02,6,45323923,natural,natural,natural,natural
202,신규,남성,50대,1천만원이하,2020-03-06,0,6708686,natural,natural,natural,natural
203,신규,여성,30대,1천만원이하,2020-03-17,0,8368652,natural,natural,natural,natural
204,신규,남성,50대,1천만원이하,2020-07-30,0,4192716,natural,natural,natural,natural
205,기존,남성,30대,1천만원이하,2020-03-02,2,1024255,natural,natural,natural,natural
206,신규,여성,60대이상,1천만원이하,2020-10-23,0,6735711,natural,natural,natural,natural
207,기존,남성,50대,1천만원이하,2020-03-02,3,9152254,natural,natural,natural,natural
208,기존,남성,30대,1천만원이하,2020-03-02,3,9565917,natural,natural,natural,natural
209,신규,여성,40대,1천만원이하,2020-06-12,0,4117997,natural,natural,natural,natural
210,기존,여성,50대,1억원이하,2020-03-02,13,84689703,natural,natural,natural,natural
211,기존,여성,40대,1억원이하,2020-03-02,8,67155683,natural,natural,natural,natural
212,기존,여성,30대,1억원이하,2020-03-02,12,39753679,natural,natural,natural,natural
213,신규,남성,40대,1천만원이하,2020-06-02,0,5855884,natural,natural,natural,natural
214,기존,남성,60대이상,1천만원이하,2020-03-02,2,8565093,natural,natural,natural,natural
215,신규,여성,20대이하,1억원이하,2020-09-28,0,31997066,natural,natural,natural,natural
216,신규,여성,50대,1천만원이하,2020-03-18,0,5362080,natural,natural,natural,natural
217,신규,여성,20대이하,1천만원이하,2020-08-31,0,4295425,natural,natural,natural,natural
218,기존,남성,40대,1천만원이하,2020-03-02,4,5986248,natural,natural,natural,natural
219,기존,남성,30대,3천만원이하,2020-03-02,7,20128480,natural,natural,natural,natural
220,기존,남성,50대,1천만원이하,2020-03-02,3,6278060,natural,natural,natural,natural
221,기존,남성,40대,1천만원이하,2020-03-02,1,1447296,natural,natural,natural,natural
222,기존,남성,40대,1천만원이하,2020-03-02,1,8101243,natural,natural,natural,natural
223,기존,남성,20대이하,1천만원이하,2020-03-02,4,7128813,natural,natural,natural,natural
224,기존,남성,50대,1천만원이하,2020-03-02,3,1332799,natural,natural,natural,natural
225,신규,남성,20대이하,1천만원이하,2020-03-26,0,6058913,natural,natural,natural,natural
226,신규,여성,40대,1천만원이하,2020-09-11,0,9404727,natural,natural,natural,natural
227,기존,남성,40대,1억원이하,2020-03-02,10,94304078,natural,natural,natural,natural
228,신규,여성,30대,1천만원이하,2020-10-27,0,5279036,natural,natural,natural,natural
229,기존,여성,50대,1천만원이하,2020-03-02,1,1043050,natural,natural,natural,natural
230,기존,여성,30대,1천만원이하,2020-03-02,3,1159994,natural,natural,natural,natural
231,기존,여성,60대이상,1천만원이하,2020-03-02,2,7421968,natural,natural,natural,natural
232,기존,여성,40대,3천만원이하,2020-03-02,4,28646934,natural,natural,natural,natural
233,기존,남성,60대이상,1천만원이하,2020-03-02,4,8356091,natural,natural,natural,natural
234,신규,남성,50대,1천만원이하,2020-03-13,0,1538011,natural,natural,natural,natural
235,기존,남성,40대,1천만원이하,2020-03-02,3,4269390,natural,natural,natural,natural
236,신규,여성,40대,3천만원이하,2020-08-24,0,25692484,natural,natural,natural,natural
237,신규,남성,30대,1천만원이하,2020-09-10,0,3988360,natural,natural,natural,natural
238,신규,여성,40대,3천만원이하,2020-03-24,0,27762481,natural,natural,natural,natural
239,기존,여성,50대,1천만원이하,2020-03-02,3,1015165,natural,natural,natural,natural
240,기존,남성,40대,1천만원이하,2020-03-02,1,8499079,natural,natural,natural,natural
241,기존,여성,20대이하,1억원이하,2020-03-02,13,77924716,natural,natural,natural,natural
242,기존,여성,30대,1천만원이하,2020-03-02,3,7751657,natural,natural,natural,natural
243,기존,남성,50대,1천만원이하,2020-03-02,2,3292612,natural,natural,natural,natural
244,기존,여성,30대,3천만원이하,2020-03-02,7,14657329,natural,natural,natural,natural
245,기존,여성,50대,3천만원이하,2020-03-02,8,13783028,natural,natural,natural,natural
246,기존,남성,40대,3천만원이하,2020-03-02,7,20344347,natural,natural,natural,natural
247,기존,여성,40대,3천만원이하,2020-03-02,4,25746951,natural,natural,natural,natural
248,기존,여성,30대,1천만원이하,2020-03-02,3,9913642,natural,natural,natural,natural
249,기존,여성,20대이하,1천만원이하,2020-03-02,3,9518496,natural,natural,natural,natural
250,신규,남성,60대이상,1천만원이하,2020-04-10,0,2626619,natural,natural,natural,natural
251,기존,남성,20대이하,1천만원이하,2020-03-02,2,9189277,natural,natural,natural,natural
252,기존,여성,40대,1억원초과,2020-03-02,14,212895236,natural,natural,natural,natural
253,기존,여성,40대,1억원초과,2020-03-02,14,293153698,natural,natural,natural,natural
254,신규,남성,60대이상,1천만원이하,2020-10-30,0,9141150,natural,natural,natural,natural
255,기존,여성,50대,1천만원이하,2020-03-02,2,1501910,natural,natural,natural,natural
256,기존,남성,60대이상,1천만원이하,2020-03-02,3,7821080,natural,natural,natural,natural
257,신규,여성,30대,1천만원이하,2020-10-30,0,3146117,natural,natural,natural,natural
258,기존,여성,60대이상,1천만원이하,2020-03-02,2,9349110,natural,natural,natural,natural
259,신규,여성,30대,1천만원이하,2020-03-20,0,1872887,natural,natural,natural,natural
260,기존,남성,30대,1천만원이하,2020-03-02,5,5297845,natural,natural,natural,natural
261,기존,남성,20대이하,3천만원이하,2020-03-02,11,12894219,natural,natural,natural,natural
262,기존,남성,50대,1천만원이하,2020-03-02,2,4010580,natural,natural,natural,natural
263,기존,남성,60대이상,1천만원이하,2020-03-02,4,1511676,natural,natural,natural,natural
264,신규,남성,60대이상,1억원이하,2020-10-07,0,44113528,natural,natural,natural,natural
265,기존,여성,60대이상,1천만원이하,2020-03-02,4,9065795,natural,natural,natural,natural
266,기존,남성,40대,1억원이하,2020-03-02,6,53863417,natural,natural,natural,natural
267,기존,남성,30대,3천만원이하,2020-03-02,3,28239628,natural,natural,natural,natural
268,신규,여성,20대이하,1천만원이하,2020-10-27,0,2770404,natural,natural,natural,natural
269,신규,남성,50대,3천만원이하,2020-04-03,0,22248666,natural,natural,natural,natural
270,신규,남성,20대이하,1천만원이하,2020-09-14,0,4673107,natural,natural,natural,natural
271,신규,남성,30대,1천만원이하,2020-03-11,0,5437154,natural,natural,natural,natural
272,기존,여성,40대,1천만원이하,2020-03-02,3,8484605,natural,natural,natural,natural
273,기존,여성,20대이하,3천만원이하,2020-03-02,8,18915348,natural,natural,natural,natural
274,기존,남성,60대이상,1억원이하,2020-03-02,8,79783051,natural,natural,natural,natural
275,기존,여성,60대이상,1억원이하,2020-03-02,6,65931985,natural,natural,natural,natural
276,기존,남성,30대,3천만원이하,2020-03-02,10,12053508,natural,natural,natural,natural
277,기존,남성,30대,1억원초과,2020-03-02,17,103537470,natural,natural,natural,natural
278,기존,여성,40대,1천만원이하,2020-03-02,3,7453883,natural,natural,natural,natural
279,기존,남성,30대,1천만원이하,2020-03-02,3,4650855,natural,natural,natural,natural
280,기존,남성,30대,1억원초과,2020-03-02,21,132864608,natural,natural,natural,natural
281,기존,남성,60대이상,1천만원이하,2020-03-02,1,4560701,natural,natural,natural,natural
282,기존,남성,40대,3천만원이하,2020-03-02,5,29624418,natural,natural,natural,natural
283,기존,여성,40대,1천만원이하,2020-03-02,5,9620749,natural,natural,natural,natural
284,기존,여성,50대,3천만원이하,2020-03-02,6,11385284,natural,natural,natural,natural
285,기존,남성,40대,3천만원이하,2020-03-02,9,28738694,natural,natural,natural,natural
286,신규,여성,20대이하,1억원이하,2020-05-18,0,48604040,natural,natural,natural,natural
287,기존,여성,40대,1천만원이하,2020-03-02,6,5682745,natural,natural,natural,natural
288,기존,남성,50대,3천만원이하,2020-03-02,4,21885783,natural,natural,natural,natural
289,신규,남성,50대,1천만원이하,2020-10-05,0,2115280,natural,natural,natural,natural
290,신규,여성,20대이하,1천만원이하,2020-09-03,0,5916831,natural,natural,natural,natural
291,기존,여성,60대이상,1천만원이하,2020-03-02,5,5147951,natural,natural,natural,natural
292,기존,여성,40대,3천만원이하,2020-03-02,7,20248990,natural,natural,natural,natural
293,기존,여성,30대,1천만원이하,2020-03-02,2,6009879,natural,natural,natural,natural
294,기존,남성,50대,1억원이하,2020-03-02,9,34675917,natural,natural,natural,natural
295,기존,여성,30대,3천만원이하,2020-03-02,5,12184885,natural,natural,natural,natural
296,기존,남성,40대,1천만원이하,2020-03-02,6,7078096,natural,natural,natural,natural
297,기존,남성,40대,1억원초과,2020-03-02,17,251938833,natural,natural,natural,natural
298,기존,남성,50대,1억원이하,2020-03-02,8,30302666,natural,natural,natural,natural
299,신규,남성,40대,1천만원이하,2020-10-13,0,8053175,natural,natural,natural,natural
300,기존,남성,30대,1천만원이하,2020-03-02,5,3636270,natural,natural,natural,natural
301,기존,여성,50대,1천만원이하,2020-03-02,5,5495948,natural,natural,natural,natural
302,기존,남성,60대이상,1천만원이하,2020-03-02,1,1791368,natural,natural,natural,natural
303,신규,남성,40대,1천만원이하,2020-03-17,0,4838025,natural,natural,natural,natural
304,신규,남성,20대이하,3천만원이하,2020-05-08,0,25469632,natural,natural,natural,natural
305,신규,여성,30대,1천만원이하,2020-10-19,0,4219408,natural,natural,natural,natural
306,기존,여성,30대,1천만원이하,2020-03-02,5,4369740,natural,natural,natural,natural
307,기존,여성,50대,1천만원이하,2020-03-02,3,4961470,natural,natural,natural,natural
308,기존,남성,30대,1천만원이하,2020-03-02,3,3862700,natural,natural,natural,natural
309,기존,남성,30대,1천만원이하,2020-03-02,3,8384992,natural,natural,natural,natural
310,기존,남성,60대이상,1천만원이하,2020-03-02,3,5543986,natural,natural,natural,natural
311,기존,여성,50대,1억원이하,2020-03-02,10,74555867,natural,natural,natural,natural
312,기존,남성,50대,3천만원이하,2020-03-02,6,16089132,natural,natural,natural,natural
313,신규,남성,20대이하,3천만원이하,2020-09-01,0,15320371,natural,natural,natural,natural
314,기존,여성,20대이하,3천만원이하,2020-03-02,6,13135417,natural,natural,natural,natural
315,신규,여성,20대이하,1천만원이하,2020-07-02,0,6517038,natural,natural,natural,natural
316,기존,여성,40대,3천만원이하,2020-03-02,8,17076896,natural,natural,natural,natural
317,기존,남성,40대,1억원이하,2020-03-02,12,61488689,natural,natural,natural,natural
318,기존,여성,30대,1천만원이하,2020-03-02,4,6581602,natural,natural,natural,natural
319,기존,여성,40대,1억원이하,2020-03-02,11,87112915,natural,natural,natural,natural
